Student,Response,Analysis,Explanation,Critique,Advance Claim
A 11,"There is much debate about Charlestonês flooding problems. A local meteorologist has put his claim into the issue. He believes that the drastic increase of precipitation since 2005 in Charleston has caused the land to flood when it rains. But that can be easily proved wrong due to graphs of precipitation patterns in Charleston and Changes in land area coverage in Charleston.  In 1973 the annual average of precipitation raised rapidly. There are no reports of flooding during this time. Also in 1973, 75% of land area coverage was natural areas. This allowed water to flow away from the town or soak into the ground, keeping the land from flooding. In 2005, when local meteorologist believes the precipitation increased, the annual average of precipitation was drastically less than in 1973. Therefore, concluding that the meteorologistês claim is incorrect.  In current years, 2013, the percentage of natural areas has decreased to only 45% and developed- impermeable surfaces has risen to 36%. Developed- impermeable surfaces include sidewalks, buildings and roads. This states that almost 40% of the land in Charleston doesnêt have the ability to allow water to soak into the ground. This concludes that the reason Charleston, in recent years, has had a flooding problem due to increases in developed land area with impermeable surfaces.  ",,,,
A 12 , The meteorologist stated that the reason for the flooding in Charleston was due to the increase of rain precipation in 2005 that stayed steadily because flooding had never been a problem before 2005. But the argument against the statement the meteorologist made was over time the developed impermeable surfaces increased causing the water not to be able to seep in to the ground. This was causing the water to stay on top of the ground causing the flooding. Between the years 2003-2013 the developed impermeable surfaces had a major jump from 21-36 unlike the years before where they would jump from 13-15 and 15-18 and so forth. My argument against the meteorologist would be that the cause of the flooding was not do to the rain precipitation increase in 2005 it was due to the increases in the impermeable surfaces that the water was not able to go through. The ratio in 2013 from the Impermeable and the permeable surfaces 36:16. Meaning there were more impermeable services than permeable surfaces. There were more buildings and parking lots added then there were soccer fields. ,3,4,3,4
A 13,"The meteorologist quoted, –The cause of Charlestonês flooding problem is the increased precipitation. The annual precipitation data show that rain and snowfall in the area have increased steadily since about 2005. Flooding did not become a problem for the city until 2005. Therefore, increased precipitation has led to local flooding.” Looking at the graph it did show that the precipitation has increased steadily since about 2005, but back in 1973 there was the same amount of precipitation. If there was the same amount of rain and/or snowfall in both time periods, how come it wasnêt a problem until now? I will tell you; because the amount of developed-impermeable surfaces has gone up and the natural areas have gone done there arenêt as many permeable surfaces to soak up the precipitation to prevent flooding. Even though the number of permeable surfaces has gone up as well, the ratio of permeable and impermeable surfaces doesnêt balance to where it wonêt flood. Back in 1973 the percentage of Permeable areas was 87% in 2003 (2 years before 2005) the percentage of permeable surfaces was 79%. It was a sudden drop in the environment that wasnêt natural therefore; the water has to go somewhere. So the cause of the floods was that the amount of impermeable surfaces has gone down. If the natural surfaces and permeable areas went up as well or stayed the same the amount of precipitation would not have made floods. If they are looking for a solution to their problem, I would suggest increasing the amount of permeable and/or natural areas, since they cannot affect the amount of precipitation goes into their city. For example, they could build a football field for their schools (since they have 3) or they could build a garden. Any of these would not help the rain and/or snowfall but would decrease flooding.",4,4,4,4
A 14,"I am here to inform the citizens of Charleston that your local meteorologist was incorrect. He claims that, and I quote, –The cause of Charlestonês flooding problem is the increased precipitation.” It is true that precipitation has increased since 2005, and yes, this is when the flooding began. However, I can assure you that increased precipitation is not the cause of the flooding. According to your beloved meteorologist, –Flooding did not become a problem for the city until 2005.” This seems like proof that the rise in precipitation is the cause, until you take into account the levels of precipitation in 1970, long before the flooding. The annual average precipitation for Charleston in 1970 was 58 inches, only two inches less than the precipitation in 2013. The real reason for the flooding is the decrease in permeable surfaces in Charleston since 1973. A permeable surface, if you did not know, is a surface that water can pass through. In Charleston, in the year 1973, 87% of land was permeable. Now, sadly, only 64% of land in Charleston allows water to soak into the ground. You see, this water trapped on the surface has nowhere to go, causing the flooding of your beloved city. The only reason that flooding did not begin before 2005 is that precipitation declined along with the percentage of permeable surfaces. However, precipitation levels are rising, and permeable surfaces are disappearing faster and faster. The water canêt go anywhere, so it remains trapped on the surface as water levels rise and floods appear. Careful observation of all the information disproves your meteorologistês claim as inaccurate. Feel free to present my counterclaim to your local meteorologist so that he may review it for further research into your flooding dilemma. Charleston, I wish you the best of luck, and I bid thee farewell.",,,,
A 15,"The excessive flooding in Charleston is due to the increase of impermeable surfaces. The meteorologist claims that the flooding is due to the increased precipitation, which is not the case. The increase in precipitation would have just soaked into the soil like it was supposed to, if the ground permitted. The real reason for all of the flooding was caused by the impermeable surfaces that Charleston had. The data in the graphs show that the more impermeable surfaces we had in ratio with the natural and permeable surfaces, the more flooding we had because of it. The natural and permeable surfaces wouldêve permitted the precipitation into the soil, preventing flooding, and excessive erosion due to the flooding.  I also believe that the large amount of flooding was due to the lack of surfaces that wouldêve permitted precipitation. Although the graph does show a large amount of precipitation, that was not the cause for all of the flooding. You can see this in the second graph. The natural and permeable surfaces became significantly lower in number, as the impermeable surfaces grew. And because of the lack of knowledge on the surfaces, the flooding continued throughout as impermeable surfaces began to grow around Charleston. ",3,4,4,4
A 16,The city of Charleston and there flooding problem is natural. It is honestly just a new since to the people because they are scared their houses will get damaged. They should come up with a plan b. They should build a dam or something for the water. Maybe if they built a dam it would decrease the number of floods in a year. ,0,1,0,0
A 17,"The reason to why there has been an increase in flooding is not just because of natural areas.  Rain and snowfall run in a cycle, and this cycle has many stages it goes through to be able to let it rain or snow.  Yes natural areas could be a reason to why itês flooding maybe because the land isnêt soaking up all the rain fall fast enough but itês not the main reason why itês flooding in Charleston.  You have to include all the storms that have been going on around the world and hurricanes that have been happening the last few years. All the precipitation from the hurricanes are making its way around the world and causing it to rain or even have big storms in other towns across the coast and even other states across the state. A lot of the snow could be caused from all the storms and the temperature changes changing from ran to sleet to just and over load of snow build up from all the changes.  Charleston is not decreasing or increasing anymore then it has been, itês just called nature. Itês going to rain and snow itês just how the weather is. The same as when we have tornadoes and hail storms. Sometimes they happen more times in a year the last few years but it does still happen. Itês how the seasons go and how the world rotates. From 1983-2003 it was at a lower percentage rate but itês never going to be the same.",1,4,0,0
A 18,"I would like to argue that the local meteorologistês claim is inaccurate. The first graph on the second page clearly indicates that there was an excessive amount of precipitation between 1963 and 1973. There was also a large amount a precipitation between 1983 and 1993. Yes, studies show that from 2005 and up, there indeed was an increase in precipitation, but the year of 2005 did not have half as much rainfall as in 1968, (the median between 1963-1973) indicating that there was surely flooding prior to 2005. I would also like to point out that on the second graph of page two, between 2005 to 2013; there was a significant drop in overall rainfall. There is no way 2005ês precipitation had anything to do with the city of Charlestonês flooding.",2,2,3,0
 A 19," There was a city names Charleston that was made in da 1900ês. Over the past 10 years Charleston has made three schools, many homes and the population has grown since then. It also had expanded existing roads and built more sidewalks and parking lots. While all of that was going on the citizens of Charleston notice that the city floods each time it rained heavily. The flooding has never been a problem for Charleston until 2005. Ever since 2005 the floods have increase in freguency. As the flooding was goin on a local middle school science class was investigating the problem. So the students started collecting data about the cities precipitation over the last 50 years and the amount of land used for different purposes. So measuring of precipitation indicates how much rain and snow the city received. So the first thing they did was split up the land three categories 1. Was Developed _ impermeable surface, the 2. Thing was Developed _permeable surface, last but not least the 3. Thing was Natural Areas. So after they gathered up all their information they made a graph that showed all the data that they collected. ",0,2,0,0
A 20,"Recently there has been a problem with flooding in Charleston. Many meteorologists say that this is strictly because of increased precipitation in the area. After looking at the data it can be concluded that this is not true.  Even though the meteorologists are right about increased precipitation in the area this is not the main contributing factor to the flooding. I think that the reason flooding has become a problem is because of newly developed, impermeable, surfaces.  I know this because the precipitation amounts in 2013 are very similar to those in the early 1970s. The only big difference about these two time periods is the amount of land that has been developed, creating an impermeable surface.  I know this because looking at the change in land area in Charleston you can see a steady increase in developed, impermeable land and a steady decrease in permeable, natural land. This I believe is the contributing factor to the flooding considering the similar amounts of rainfall in the early 1970s which had no issue of flooding, this further supports my claim that the flooding issue is caused by the amount of impermeable land that started to steadily increase at a rapid rate in 2005. Based on this I believe that the flooding is caused the increasing amount of impermeable land and not the increased amount of precipitation in the Charleston area.",,,,
A 21,"The flooding of Charleston is not because of the increased precipitation numbers of the years. That is wrong because Charlestonês flooding problems are due to the increase in developed land areas with impermeable surfaces. Like when water reaches concrete, the concrete is going to absorb the water and the concrete is going to crack and break down which is going to make the land surfaces go down. Dirt for example will absorb water but not affect it like it does concrete because dirt needs water. That is why they are due to the land areas and impermeable surfaces. The meteorologistês statement is incorrect because flooding isnêt caused by participation it is caused by the increase in developed land areas with impermeable surfaces. Like buildings, if water gets in to the concrete basement of a building then the concrete is going to absorb that water and start to break down and slope farther into the land which will make it more capable for floods to happen because the land is starting to be at a down slope. When there is too much water for dirt to absorb it will also make the land sink and more capable for floods to happen because the land will be sloped. This happens most in natural areas where there are no buildings to block off the water. In natural areas where there are no buildings and just trees and stuff then those are the areas where the dirt wonêt be able to absorb all of the water and the land will flood because there is no other place for that water to go because the dirt sucked up all that it could. There is starting to be more floods in developed Impermeable surfaces each year.  You can tell because the percentages are going up each year. This means that they need to slow down or maybe even eliminate some impermeable surfaces because that is where all of the floods are beginning to be at. If they slow down the production of impermeable surfaces then they can limit the amount of floods that they have. This is why the meteorologist was wrong by his statement.  ",3,4,3,3
A 22,"Charlestonês flooding problems are due to the increases in developed land with impermeable surfaces. The local meteorologistês claims are inaccurate because the town of Charleston didnêt have any flood problems until about 2005. But the meteorologist said that it was an increase in precipitation in 2003 that made it eventually start flooding in 2005, but in 1963 the precipitation levels were about the same as they were in 2010. That right there is ruling out that it is the increase in weather leaving it to be some other change that happened between 2003- 2013. In the year 1973 the natural areas were at 75%, by 2003 they were only at 62%. Over the years the natural resources percentage has continued to go down as man made impermeable and permeable percentages have gone up. In just 10 years (2003-2013) the natural resources percentage went down by 17% and the developed- impermeable surfaces went up by 15%. Steadily the natural resources percentage went down up until about 2003-4 when it started going down by the most it ever has. To conclude why the meteorologist is incorrect because he thought the flooding was caused by the precipitation. In 1973 there was also a lot of rain, but they had also had the natural resources to keep up with the heavy precipitation. And as the natural resources went down and the precipitation grew heavier the man made impermeable surfaces couldnêt keep up, thus making the flooding in Charleston be the worst itês ever been.",4,2,4,3
A 23,"Charlestonês flooding has been a problem since 2005. The meteorologistês argument for the cause of the flooding, is that since 2005 there has been an increase of precipitation. He claims that this is the only reason for the start of the flooding. While an increase of precipitation probably did have some effect on the flooding, it is not the only reason. The amount of land coverage with developed-impermeable surfaces also had an effect on the flooding. The meteorologist claims the annual average precipitation had gone up and that was the only reason for the start of the flooding. The average amount of rain and snowfall canêt be the only reason Charleston started to flood more recently. Back in 1973, there was almost the same amount of rain and snowfall, but it didnêt flood then. There is more than just one reason that Charleston had started to flood since 2005. While precipitation probably had some effect on the flooding, there had to be another reason. Ever since 2005, since the population of Charleston started to grow, the city has been growing and expanding on to make more room. On graph two, it shows that the area of developed-impermeable surfaces has increased fifteen percent, and natural area has decreased seventeen percent. Because of that shift, there isnêt as much room for the rain to go, which is what had led to the increase in flooding over the last 10 years. Between the increase of precipitation and the decrease of natural area coverage, Charleston had an increase of flooding since 2005.",3,4,4,4
A 24,"The meteorologist would be incorrect about the flooding in Charleston. He says the precipitation has been increasing since 2005 but on our graphs we have been increasing then decreasing since 1963 then back up in 1993. There has been a lot of precipitation from 1963 to 2013. So flooding was a problem before 2005 because of all the precipitation. Charleston has a flooding problem, during the years of 1963-1973 and the year of 2013 flooding was at an all-time high. During these few years flooding was at an all-time low 1983 and 2003. So the students are right. ",2,2,3,0
A 25,"Perhaps, the meteorologist is right. The cause of Charlestonês flooding problem is the increased precipitation, and the annual precipitation datashow that rain and snowfall in the area have increased steadily since 2005. When I go back to the annual average precipitation I see that the patters have been steady since 1975. But, the rain and snowfall started to get bad around 2003. But, when Charleston got all that rain, it must have been because they needed it. Even though they may have gotten to much. The reason why it flooded badly like it did was for the fact that the concrete didnêt suck up the water that good, and the dams, or lakes couldnêt hold all that water.  Also, a problem could be is that the city has grown over the years, and there has probably been a lot more farms, and houses being built. The expanding of roads, parking lots. ",2,3,0,0
A 26,I believe that the meteorologist is not correct when he talks about why the city has had flooding due to the more rain and snowfall the city has received since the year 2005. He tells us that the annual snowfall and rainfall have increases since 2005 which is now causing flooding. But there was a lot of rain and snowfall in the years of 1963 to 1976 then it took a break for a while and then there started to be more rainfall which caused more and more flooding. When water falls it runs off into places and soaks into the ground but when there is too much rain the water erodes things and goes crazy and floods. But the claim that the meteorologist made about their only being flooding since 2005 is false because there was flooding before that in the years prior. Although he is correct about there being flooding because there is more rain than normal he still isnêt correct about it being after 2005. The changes in the Permeable surfaces and the Impermeable are higher in the years following 2005 but there is still evidence before 2005. In conclusion he is wrong.,3,3,4,0
A 27,"Charlestonês flooding problems are definitely due to the increases in developed land areas with impermeable surfaces.  The local meteorologistês claim is inaccurate for many reasons. They are 4 different pieces of information that help understand that claim. There is an article, and 2 graphs.  One graphs show the precipitation problems and the 2nd one shows the changes in land area coverage in Charleston. The 4th is a statement from a meteorologist.  The article Charlestonês Flooding Problem gives lots of information supporting the claim. Charleston has expanded roads and built more sidewalks and parking lots. They never had a problem with flooding until 2005. Not too much before 2005 they most likely made those expanding changes.  Every single time it rains heavily, it floods. Every time it rains heavily, not only does it flood, the floods seem to get worse throughout time.  Citizens of Charleston are concerned because the floods cause damage and they are very dangerous. Graph 1 shows the precipitation patterns in Charleston. The Average precipitation for 1963 was about 52 inches. In 1993 it was about 45 inches. Then in 2013 it was about 60 inches.  The precipitation patterns donêt seem to have anything to do with the flooding situations. Throughout the years the precipitation patterns have went up and down. They did not decrease and they did not increase. They just simply went all over the place. Graph 2 shows the changes in land area coverage in Charleston. It shows natural areas, and developed-permeable surfaces, and developed-impermeable surfaces.  In 1973 the percentage of different surfaces for natural areas, was 75%. Developed-permeable surfaces were 12% and developed-impermeable surfaces were 13%. 2013 shows natural areas was 45%, developed-permeable surfaces is 19%, and developed-impermeable surfaces was 36%. Throughout time the natural surfaces percentage went down quite a bit. The developed-permeable surfaces percentage went up a smidge at a time. Developed-impermeable went up and down. The meteorologist said –The cause of Charlestonês flooding problem is the increased precipitation. The annual precipitation data shows that rain and snowfall in the area have increased steadily since about 2005. Flooding did not become a problem for the city until 2005. Therefore, increased precipitation has led to local flooding. All of the information above shows why that is a spurious statement.",,,,
A 28,Charlestonês flooding problems are not due to increases in developed land areas with impermeable surfaces. Because on the data it says that there is least developed impermeable surfaces. Natural areas have the most land out of the three. The meteorologistês claim was inaccurate because if the cause of the flooding was because of all of the impermeable surfaces then that would be covering up Charleston the most.,,,,
A 29,The town of Charleston is flooding because of the amount of precipitation but the meteorologist say that the rain was causing the flooding because it started raining more in 2005 when the flooding started because of all the precipitation. The more  impermeable surfaces the less flooding because they would be open area for the rain to run instead of building up in between buildings and if they had more creeks for water to flow out of the town it wouldnêt flood as much or as bad as it has been. If they didnêt build buildings they would have more open areas.  ,2,4,0,0
 A 30,"The claim of the meteorologist is that the cause of the floods in Charleston is an increase in precipitation since 2005. The meteorologists claim is false. The precipitation is not the factor that that is making the rise in flood. The graph that shows the amount of precipitation in the time between 1964 and 1983 is about the same as the amount of precipitation that has happened in the time period of 1993 to 2013. Also there is no evidence of any floods in the period of 1963 to 1983. So the meteorologistês claim is false, also the cause of the floods is the amount of developed-impermeable surfaces. The amount of impermeable surfaces has increased quite a bit in the time period from 1973 to 2013, which means when it rain there is no way for the water to go; which then leads to a huge flood all through Charleston. ",3,4,4,4
A 31,"In the growing town of Charleston they are getting more and more rain and that is causing floods to surface, the question is why. As the class tries to find out why, they ask a meteorologist for help and show him there data. He says that the floods are due to the increased precipitation, and that in turn makes the rain and snow fall increase. He also points out that the flooding has not been a problem until the rain and snow fall went up. This is inaccurate. The reason for more rain and snow is not entirely due to the rising precipitation but the city itself.  As the city grows more and more land is covered by materials that donêt allow water to pass through them. Also lands that are natural of can let water pass through them are shrinking. What this is doing is that the water that falls on pavement cant seep into the ground like it can do in a forest of filed. This lets the water just evaporate back in to the sky almost soon after falling. This is why they rain and snow fall has increased, there is nowhere for the water to go.  ",,,,
A 32,"The Charlestonês flooding problem is not due to just the increase in precipitation, even though that does have a small play into it. The meteorologistsê claim is inaccurate because based on the data given to us from the research done by the class shows that the precipitation increased around the start of 2003-2004. Therefore after a whole year (or two) after the precipitation increase they then began to have flooding problems. If they had more permeable things it would allow the precipitation to flow and not get held up and then cause the flooding problems they have currently in Charleston. My claim for the Charlestonês flooding problem is that the cause of the flooding issue is coming from having a higher majority of Impermeable buildings. This is because, since they more than likely build the new buildings on the old natural area which probably had a lot of rainfall to begin with, they will now have a higher precipitation rate and more flooding than they would like to have. The Impermeable surface doesnêt allow water to pass through it so when it rains the water is help within whatever is containing it, whether it is a bucket or the impermeable buildings they now have. Therefore saying that I believe if they made a few more permeable stuff their floods wouldnêt be so brutal.",4,4,3,4
A 33,"Recently, there has been a flooding problem in Charleston. One of the middle school classes decided to find out why, and claimed that it was due to precipitation. A local meteorologist says itês because of the more and more loss of natural land being replaced with recent developed impermeable surfaces. Charleston flooding problem are due to the increases in developed land areas with impermeable surfaces. The local meteorologists claim is also inaccurate. The kidsê data claims that precipitation is the reason of the recent flooding. The meteorologists claim is incorrect because he claims that as humans take more and more of natural areas, the more the flooding that will happen. The local middle school class claims that the flooding is due to heavy precipitation. They are correct. The inch of precipitation has drastically been higher since 2005 to now. This would clearly explain why the recent flooding. More precipitation usually means flooding until the earth can naturally collect drainage. We try our best to build drainage ditches as often and as many places as we can but flooding will always still happen.",,,,
A 34,"In the city of Charleston the annual precipitation data shows that rain and snowfall in the area have increased since 2005, but so has the population of people in Charleston. Charleston was founded in the early 1900s and has grown a lot over the past 10 years. The citizens of Charleston are worried because all of the floods that have been happening because flooding can cause property damage. Some of the impermeable surfaces donêt soak up any water; however some of the other surfaces donêt   soak up enough water to prevent the flooding. Therefore the flooding problem is cause by the increase in impermeable surfaces. A meteorologist looked at the data and said –The cause of Charlestonês flooding is the increased precipitation, but he is inaccurate. Charlestonês flooding problems are due to the increase in developed land areas with impermeable surfaces. His claim is wrong because there was an increase in 2005, but the natural areas were developed impermeable. So therefore the meteorologist  was  wrong.",,,,
A 35,"Charleston was founded in the early 1900ês. However, the city of Charleston has increased in population and size since then. Charleston also has encountered flooding since about 2005. It has grown in size since then. Impermeable surfaces, such as schools and homes, have developed since it was founded. The Impermeable surfaces added by the people donêt soak up the water from the rainfall Charleston receives. There are some permeable services but they donêt soak up enough water to reduce the flooding. Therefore, Charlestonês flooding problems are due to the increase in developed land areas with impermeable surfaces. The meteorologist invited by the class says that the –flooding problem is the increase in precipitation.” There was an increase in rainfall in 2005 but however, the area of natural areas and permeable surfaces were decreased. After the rain fell from the sky it didnêt have anywhere to go, so it would flood. Charlestonês flooding problems are due to the increase undeveloped land areas with impermeable surfaces. In the data on the graph collected by the class shows that in between 2003 and 2013 fifteen impermeable surfaces were developed, seventeen natural areas were lost and only 2 permeable surfaces were added. This shows that the increase in impermeable surfaces is the cause for the flooding in Charleston. ",,,,
A 36,"The claim that the meteorologist gave to the students about the precipitation rate is right it did rise in 2005 but, that doesnêt mean that the city didnêt have floods before that with the amount of precipitation they were getting. But that is not exactly why the floods are happening more, itês because the land doesnêt have as much natural areas, so with the land changing it is disrupting the natural flow of the run off. So when it rains or snows the water will go into the streets in large amounts therefore causing floods to happen more frequently.  ",3,4,3,0
A 37,"The meteorologists claim is inaccurate because developed permeable surfaces could still have rain water still in the surface. Impermeable surfaces like buildings, sidewalk, and roads donêt allow the rain water to go through. Permeable surfaces allow rain water to go through. While the rain water goes through the permeable surface, over time all the rain water could just be building up and as the more rain you get, the more rain water builds up in the permeable surfaces. So when the permeable surfaces are filled with rain water and more rain comes, the rain water that is built up could just overflow and cause it to flood. As it started to flood in 2005, permeable surfaces were barely increasing while impermeable surfaces were abundantly increasing. More impermeable surfaces were being developed which would allow permeable surfaces to keep the rain water. ",2,4,2,0
